カテゴリ,難易度,日本語問題,英語模範回答
会議進行,初級,まず、本日の目的を確認します。,"First, let's confirm today's objective."
会議進行,初級,まず、議題を確認します。,"First, let's confirm the agenda."
会議進行,初級,まず、背景を確認します。,"First, let's confirm the background."
会議進行,初級,まず、現在の状況を確認します。,"First, let's confirm the current status."
会議進行,初級,まず、次のステップを確認します。,"First, let's confirm the next steps."
会議進行,初級,まず、スケジュールを確認します。,"First, let's confirm the schedule."
会議進行,初級,まず、役割分担を確認します。,"First, let's confirm the roles."
会議進行,初級,まず、資料を確認します。,"First, let's confirm the material."
会議進行,初級,まず、主要な論点を確認します。,"First, let's confirm the key points."
会議進行,初級,まず、確認事項を確認します。,"First, let's confirm the items to confirm."
会議進行,初級,まず、結論を確認します。,"First, let's confirm the conclusion."
会議進行,初級,まず、会議の進め方を確認します。,"First, let's confirm how we will proceed."
会議進行,初級,まず、時間配分を確認します。,"First, let's confirm the time allocation."
会議進行,初級,まず、アクションアイテムを確認します。,"First, let's confirm the action items."
会議進行,初級,まず、決定事項を確認します。,"First, let's confirm the decisions."
会議進行,初級,次に、本日の目的について話します。,"Next, we will discuss today's objective."
会議進行,初級,次に、議題について話します。,"Next, we will discuss the agenda."
会議進行,初級,次に、背景について話します。,"Next, we will discuss the background."
会議進行,初級,次に、現在の状況について話します。,"Next, we will discuss the current status."
会議進行,初級,次に、次のステップについて話します。,"Next, we will discuss the next steps."
会議進行,初級,次に、スケジュールについて話します。,"Next, we will discuss the schedule."
会議進行,初級,次に、役割分担について話します。,"Next, we will discuss the roles."
会議進行,初級,次に、資料について話します。,"Next, we will discuss the material."
会議進行,初級,次に、主要な論点について話します。,"Next, we will discuss the key points."
会議進行,初級,次に、確認事項について話します。,"Next, we will discuss the items to confirm."
会議進行,初級,次に、結論について話します。,"Next, we will discuss the conclusion."
会議進行,初級,次に、会議の進め方について話します。,"Next, we will discuss how we will proceed."
会議進行,初級,次に、時間配分について話します。,"Next, we will discuss the time allocation."
会議進行,初級,次に、アクションアイテムについて話します。,"Next, we will discuss the action items."
会議進行,初級,次に、決定事項について話します。,"Next, we will discuss the decisions."
会議進行,初級,この会議では、本日の目的を扱います。,"In this meeting, we will cover today's objective."
会議進行,初級,この会議では、議題を扱います。,"In this meeting, we will cover the agenda."
会議進行,初級,この会議では、背景を扱います。,"In this meeting, we will cover the background."
会議進行,初級,この会議では、現在の状況を扱います。,"In this meeting, we will cover the current status."
会議進行,初級,この会議では、次のステップを扱います。,"In this meeting, we will cover the next steps."
会議進行,中級,議論の前提条件について、全員の認識を合わせたいです。,I would like to align everyone's understanding of the assumptions for the discussion.
会議進行,中級,優先順位について、全員の認識を合わせたいです。,I would like to align everyone's understanding of the priorities.
会議進行,中級,懸念事項について、全員の認識を合わせたいです。,I would like to align everyone's understanding of the concerns.
会議進行,中級,関係者の期待値について、全員の認識を合わせたいです。,I would like to align everyone's understanding of stakeholder expectations.
会議進行,中級,判断基準について、全員の認識を合わせたいです。,I would like to align everyone's understanding of the decision criteria.
会議進行,中級,未解決事項について、全員の認識を合わせたいです。,I would like to align everyone's understanding of the open issues.
会議進行,中級,依存関係について、全員の認識を合わせたいです。,I would like to align everyone's understanding of the dependencies.
